,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
천안아산,4588142,5349580,5724038,6003586,6236856,6642387,6211966,6603983,7081936,4637583,5436036
철암,26313,30349,264074,283585,221883,173097,191490,155312,151019,44293,21047
청도,1246302,1251531,1370795,1320090,1246992,1174273,1111568,1070477,1046578,637236,687646
청량리,2583846,2882374,3472327,3651090,3744464,3605568,3597296,4910246,4926994,3115713,3888934
청리,16381,15437,14444,11782,11480,10366,10536,10221,8517,5184,4220
청소,14328,14945,14032,12929,12846,13077,12394,12710,13172,9085,10097
청주,271026,293501,303213,295892,298989,265946,274903,275742,269480,178035,209031
청주공항,37462,40774,48639,50573,63184,76471,85473,86665,103673,63839,85592
청평,302,680,48,46,454,389,,,,,
초성리,3431,7015,11206,6328,2617,2687,1162,619,212,,
추암,359,463,757,416,422,828,,,,,
추전,24,700,2175,1626,2497,,784,,,,
추풍령,39121,37378,38342,41324,42128,34350,32273,32692,32281,23191,24311
춘양,34303,35896,39703,36856,37714,31031,27588,26835,24462,11982,14065
춘천,30354,32601,21085,16526,21545,14983,20277,12326,12361,1,
충주,488544,522419,563710,578256,593882,544370,582912,590752,612274,436176,510204
탑리,27165,26500,26581,26352,23398,20600,20327,17334,17067,11725,12804
태백,347661,363975,391397,380007,330452,282381,253685,241588,256960,148961,154048
태화강,1097337,1210168,1359180,1428026,1482644,1390572,1394955,1401096,1404984,971292,1072640
퇴계원,37259,36174,17006,4442,1840,,,430,913,2,2
판교,50212,50549,51269,49560,45837,45362,42650,41173,41779,25405,27624
평내호평,36,462,380,298,2694,42,672,1123,1076,,
평창,,,,,,,8370,242131,221700,157094,171003
평택,4370983,4523608,4833122,4946240,4780561,4831253,4662102,4925141,5436153,3442065,3443975
포항,383191,375686,358988,371906,1481785,1988415,2211791,2483127,2626639,1769477,2110388
풍기,248355,246783,274330,277225,267206,237796,227445,199007,186779,106345,124015
하동,117671,105764,98059,93159,79077,65774,65420,66318,65677,45636,48577
하양,351846,400482,452773,511987,534961,506079,570561,639232,654455,416916,596287
한림정,27687,28759,27357,25049,24213,19273,17517,14764,13772,10404,10578
한탄강,3831,4481,6011,3452,2140,1839,1005,493,421,,
함안,59040,56289,73804,74098,59002,50202,55385,54838,48600,38959,44308
함열,134193,138312,139453,136838,123955,112991,103932,98051,98904,59474,61910
